,train,val,test
0,7535d9c1-b122-49d1-a27e-4367cb530025,Z-1,X-1
1,00006327,Z-2,X-2
2,00006328,Z-3,X-3
3,00006329,Z-4,X-4
4,00006330,Z-5,X-5
5,00006333,Z-6,X-6
6,00006334,Z-7,L-1
7,00006335,00006331,L-2
8,00006336,00006332,L-3
9,00006337,ee1ab5b7-a967-4380-8403-8e8f1a56a100,(A1)
10,00006338,A-1,(B1)
11,00006339,CC-1,V-1
12,00006340,CC-2,V-2
13,00006315,CC-3,V-3
14,00006316,CC-4,V-4
15,00006317,CC-5,V-5
16,00006318,00006359,V-6
17,00006341,00006360,V-7
18,00006342,DD-1,00006322
19,00006343,G-1,00006323
20,00006344,G-2,00006324
21,00006345,G-3,B-1
22,00006404,G-4,B-2
23,00006405,G-5,B-3
24,00006406,00006382,B-4
25,00006346,00006383,00006400
26,00006347,00006384,00006401
27,00006319,,00006402
28,00006320,,00006403
29,00006321,,00006393
30,00006348,,00006394
31,00006349,,00006378
32,00006350,,00006379
33,00006351,,00006380
34,00006352,,00006381
35,00006353,,
36,00006354,,
37,00006355,,
38,00006356,,
39,00006357,,
40,00006358,,
41,00006325,,
42,00006326,,
43,H-1,,
44,H-2,,
45,H-3,,
46,H-4,,
47,I-1,,
48,I-2,,
49,I-3,,
50,I-4,,
51,J-1,,
52,J-2,,
53,J-3,,
54,J-4,,
55,J-5,,
56,J-6,,
57,J-7,,
58,J-8,,
59,J-9,,
60,D-1,,
61,M-1,,
62,M-2,,
63,M-3,,
64,M-4,,
65,M-5,,
66,P-1,,
67,P-2,,
68,P-3,,
69,P-4,,
70,P-5,,
71,P-6,,
72,Q-1,,
73,Q-2,,
74,Q-3,,
75,Q-4,,
76,Q-5,,
77,Q-6,,
78,Q-7,,
79,R-2,,
80,R-3,,
81,R-4,,
82,R-5,,
83,R-6,,
84,R-7,,
85,R-8,,
86,N-1,,
87,U-1,,
88,U-2,,
89,U-3,,
90,U-4,,
91,U-6,,
92,U-7,,
93,EE-1,,
94,EE-2,,
95,EE-3,,
96,(A1),,
97,1D),,
98,(A1-1),,
99,GG-1,,
100,GG-2,,
101,1.70258E+12,,
102,1.70258E+12,,
103,1.70258E+12,,
104,1.70258E+12,,
105,1.70258E+12,,
106,1.70258E+12,,
107,1.70258E+12,,
108,1.70258E+12,,
109,1.70258E+12,,
110,1.70258E+12,,
111,1.70258E+12,,
112,1.70258E+12,,
113,b8b4ea17-dcd4-40d9-a829-99179b05f9a2,,
114,ef0e94db-90df-48ae-b2aa-72607815ce6a,,
115,3be35919-9ab1-4f62-bdec-18d98d82efa6,,
116,448746e0-e43f-446c-8017-2148bda88d92,,
117,8384f1ea-6fad-4fdc-97b7-1f305fbea16a,,
118,00006385,,
119,00006386,,
120,00006387,,
121,00006388,,
122,00006389,,
123,00006390,,
124,00006391,,
125,00006392,,
126,00006395,,
127,00006396,,
128,00006397,,
129,00006361,,
130,00006362,,
131,00006398,,
132,00006399,,
133,00006363,,
134,00006364,,
135,00006365,,
136,00006366,,
137,00006367,,
138,00006368,,
139,00006369,,
140,00006370,,
141,00006371,,
142,00006372,,
143,00006373,,
144,00006374,,
145,00006375,,
146,00006376,,
147,00006377,,
148,missing1,,
149,missing2,,
150,E-1,,
151,E-2,,
152,E-3,,
153,E-4,,
154,F-1,,
155,F-2,,
156,F-3,,
157,F-4,,
158,F-5,,
159,C-1,,
160,C-10,,
161,C-2,,
162,C-3,,
163,C-4,,
164,C-5,,
165,C-6,,
166,C-7,,
167,C-8,,
168,C-9,,
169,K-1,,
170,O-1,,
171,O-4,,
172,S-1,,
173,S-2,,
174,S-3,,
175,S-4,,
176,S-5,,
177,S-6,,
178,S-7,,
179,S-8,,
180,S-9,,
181,T-1,,
182,T-2,,
183,T-3,,
184,T-4,,
185,W-1,,
186,W-2,,
187,W-3,,
188,W-4,,
189,W-5,,
190,Y-1,,
191,AA-1,,
192,BB-1,,
193,BB-2,,
194,BB-3,,
195,BB-4,,
196,BB-5,,
197,FF-1,,
198,FF-2,,
199,FF-3,,
200,FF-4,,
201,FF-5,,
202,(A1-3),,
203,a4de35f1-b557-417a-a5d4-efc3334a628c,,
