,train,val,test
7535d9c1-b122-49d1-a27e-4367cb530025,True,False,False
00006331,True,False,False
00006332,True,False,False
00006333,True,False,False
00006334,True,False,False
00006335,True,False,False
00006336,True,False,False
00006337,True,False,False
00006338,True,False,False
00006339,True,False,False
00006340,True,False,False
00006315,True,False,False
00006316,True,False,False
00006317,True,False,False
00006318,True,False,False
00006341,True,False,False
00006342,True,False,False
00006343,True,False,False
00006404,True,False,False
00006405,True,False,False
00006406,True,False,False
00006346,True,False,False
00006347,True,False,False
00006319,True,False,False
00006320,True,False,False
00006321,True,False,False
00006348,True,False,False
00006349,True,False,False
00006350,True,False,False
00006351,True,False,False
00006352,True,False,False
00006353,True,False,False
00006322,True,False,False
00006323,True,False,False
00006324,True,False,False
I-1,True,False,False
I-2,True,False,False
I-3,True,False,False
I-4,True,False,False
J-1,True,False,False
J-2,True,False,False
J-3,True,False,False
J-4,True,False,False
J-5,True,False,False
J-6,True,False,False
J-7,True,False,False
J-8,True,False,False
J-9,True,False,False
D-1,True,False,False
L-1,True,False,False
L-2,True,False,False
L-3,True,False,False
Q-1,True,False,False
Q-2,True,False,False
Q-3,True,False,False
Q-4,True,False,False
Q-5,True,False,False
Q-6,True,False,False
Q-7,True,False,False
R-2,True,False,False
R-3,True,False,False
R-4,True,False,False
R-5,True,False,False
R-6,True,False,False
R-7,True,False,False
R-8,True,False,False
N-1,True,False,False
U-1,True,False,False
U-2,True,False,False
U-3,True,False,False
U-4,True,False,False
U-6,True,False,False
U-7,True,False,False
V-1,True,False,False
V-2,True,False,False
V-3,True,False,False
V-4,True,False,False
V-5,True,False,False
V-6,True,False,False
V-7,True,False,False
X-1,True,False,False
X-2,True,False,False
X-3,True,False,False
X-4,True,False,False
X-5,True,False,False
X-6,True,False,False
Z-1,True,False,False
Z-2,True,False,False
Z-3,True,False,False
Z-4,True,False,False
Z-5,True,False,False
Z-6,True,False,False
Z-7,True,False,False
CC-1,True,False,False
CC-2,True,False,False
CC-3,True,False,False
CC-4,True,False,False
CC-5,True,False,False
A-1,True,False,False
EE-1,True,False,False
EE-2,True,False,False
EE-3,True,False,False
(A1),True,False,False
1D),True,False,False
(A1),True,False,False
(B1),True,False,False
(A1-1),True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
b8b4ea17-dcd4-40d9-a829-99179b05f9a2,True,False,False
ee1ab5b7-a967-4380-8403-8e8f1a56a100,True,False,False
